areageografica,regione,provincia,codiceistitutoriferimento,denominazioneistitutoriferimento,codicescuola,denominazionescuola,codicecomunescuola,descrizionecomune,descrizionecaratteristicascuola,descrizionetipologiagradoistruzionescuola
NORD EST,VENETO,PADOVA,PDIS02200P,IIS U.RUZZA-PADOVA,PDRI02251Q,IPIA SERALE (S.A RUZZA-PD),G224,PADOVA,PERCORSO II LIVELLO,IST PROF INDUSTRIA E ARTIGIANATO
NORD EST,VENETO,PADOVA,PDRI07000P,"I.P.I.A.""E. BERNARDI"" - PD",PDRI07000P,"I.P.I.A.""E. BERNARDI"" - PD",G224,PADOVA,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
SUD,ABRUZZO,PESCARA,PEIS001008,I. OMNICOMPRENSIVO POPOLI,PERI00101X,"IPIA ""A.DI SAVOIA""POPOLI",G878,POPOLI,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
SUD,ABRUZZO,PESCARA,PERI03000V,"IPSIA ""DI MARZIO-MICHETTI"" PESCARA",PERI03000V,"IPSIA ""DI MARZIO-MICHETTI"" PESCARA",G482,PESCARA,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
SUD,ABRUZZO,PESCARA,PETD03000D,"ITC-ITT-ITG ""G. MARCONI"" - PENNE",PETD03000D,"ITC-ITT-ITG ""G. MARCONI"" - PENNE",G438,PENNE,NORMALE,IST TEC COMMERCIALE E PER GEOMETRI
CENTRO,UMBRIA,PERUGIA,PGIS026007,"I.I.S. ""SANSI-LEONARDI-VOLTA""",PGPC02601E,"""PONTANO-SANSI""",I921,SPOLETO,NORMALE,LICEO CLASSICO
CENTRO,UMBRIA,PERUGIA,PGIS00300E,"I.O. ""SALVATORELLI-MONETA""",PGPS003011,"""SALVATORELLI-MONETA"" LICEO",E975,MARSCIANO,NORMALE,LICEO SCIENTIFICO
CENTRO,UMBRIA,PERUGIA,PGIS014001,"I.I.S. ""LEONARDO DA VINCI""",PGRC01401X,UMBERTIDE,D786,UMBERTIDE,NORMALE,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI
CENTRO,UMBRIA,PERUGIA,PGIS02900P,"""M. POLO - R. BONGHI""",PGRC02901N,IST. PROF.LE PER I SERVIZI COMMERCIALI,A710,BASTIA UMBRA,NORMALE,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI
CENTRO,UMBRIA,PERUGIA,PGIS02800V,"I.I.S. ""PATRIZI-BALDELLI-CAVALLOTTI""",PGRH028013,"""F. CAVALLOTTI""",C745,CITTA' DI CASTELLO,NORMALE,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
CENTRO,UMBRIA,PERUGIA,PGTA020003,S.ANATOLIA DI NARCO,PGTA020003,S.ANATOLIA DI NARCO,C527,CERRETO DI SPOLETO,NORMALE,ISTITUTO TECNICO AGRARIO
CENTRO,UMBRIA,PERUGIA,PGTD12000A,MAGIONE,PGTD12000A,MAGIONE,E805,MAGIONE,NORMALE,ISTITUTO TECNICO COMMERCIALE
CENTRO,TOSCANA,PISA,PIPM030002,GIOSUE' CARDUCCI,PIPM030002,GIOSUE' CARDUCCI,G702,PISA,NORMALE,ISTITUTO MAGISTRALE
CENTRO,TOSCANA,PISA,PITD070007,CARLO CATTANEO,PITD070007,CARLO CATTANEO,I046,SAN MINIATO,NORMALE,ISTITUTO TECNICO COMMERCIALE
NORD EST,FRIULI-VENEZIA G.,PORDENONE,PNIS00200X,IS G.A. PUJATI,PNPM00201B,"""G.A. PUJATI""",H657,SACILE,NORMALE,ISTITUTO MAGISTRALE
NORD EST,FRIULI-VENEZIA G.,PORDENONE,PNPS010008,LS M. GRIGOLETTI,PNPS010008,LS M. GRIGOLETTI,G888,PORDENONE,NORMALE,LICEO SCIENTIFICO
NORD EST,FRIULI-VENEZIA G.,PORDENONE,PNIS00900P,"I.S.I.S. ""L. ZANUSSI""",PNRI00901A,IPSIA L. ZANUSSI,G888,PORDENONE,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
NORD EST,FRIULI-VENEZIA G.,PORDENONE,PNIS01200E,"I.S.I.S. ""MATTIUSSI - PERTINI""",PNTL01251L,ITG SANDRO PERTINI SERALE,G888,PORDENONE,PERCORSO II LIVELLO,ISTITUTO TECNICO PER GEOMETRI
CENTRO,MARCHE,PESARO E URBINO,PSIS00100B,"OMNICOMPRENSIVO ""MONTEFELTRO""",PSRF001014,"I.P.S.S.A.S. ""MONTEFELTRO""",M413,SASSOCORVARO AUDITORE,NORMALE,IST PROF PER I SERVIZI SOCIALI
CENTRO,MARCHE,PESARO E URBINO,PSSD07000N,"LICEO ARTISTICO ""F. MENGARONI""",PSSD07000N,"LICEO ARTISTICO ""F. MENGARONI""",G479,PESARO,SCUOLA ANNESSA,ISTITUTO D'ARTE
CENTRO,MARCHE,PESARO E URBINO,PSIS01300N,"I.I.S. ""ANTONIO CECCHI""",PSTA01301D,"I.T.A. ""A. CECCHI""",G479,PESARO,CONVITTO ANNESSO,ISTITUTO TECNICO AGRARIO
CENTRO,MARCHE,PESARO E URBINO,PSIS003003,"I.I.S. ""POLO 3""",PSTD003019,POLO3 - TECNICO ECONOMICO E TURISTICO,D488,FANO,NORMALE,ISTITUTO TECNICO COMMERCIALE
CENTRO,MARCHE,PESARO E URBINO,PSTD10000N,"I.T.E.T. ""BRAMANTE-GENGA""",PSTD100503,ITET BRAMANTE GENGA -SERALE,G479,PESARO,PERCORSO II LIVELLO,IST TEC COMMERCIALE E PER GEOMETRI
CENTRO,TOSCANA,PISTOIA,PTRA010008,"IST.PROF ""DE' FRANCESCHI - A.PACINOTTI""",PTRA010008,"IST.PROF ""DE' FRANCESCHI - A.PACINOTTI""",G713,PISTOIA,CONVITTO ANNESSO,IST PROF PER L'AGRICOLTURA E L'AMBIENTE
NORD OVEST,LOMBARDIA,PAVIA,PVIS00800X,IIS CALVI - VOGHERA,PVRC00801V,IT TECNOLOGICO E IP SERVIZI - C. CALVI,M109,VOGHERA,NORMALE,IST PROF PER I SERVIZI COMMERCIALI
SUD,BASILICATA,POTENZA,PZPS040007,"L.S. ""G. GALILEI"" POTENZA",PZPS040007,"L.S. ""G. GALILEI"" POTENZA",G942,POTENZA,NORMALE,LICEO SCIENTIFICO
SUD,BASILICATA,POTENZA,PZIS016001,"I.I.S. ""GIOVANNI PAOLO II"" MARATEA",PZRH016015,I.P. ALBERGHIERO MARATEA,E919,MARATEA,CONVITTO ANNESSO,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
SUD,BASILICATA,POTENZA,PZIS007006,"I.I.S. ""TEN. R. RIGHETTI"" MELFI",PZRI00702V,I.P. TENENTE RIGHETTI PESCOPAGANO,G496,PESCOPAGANO,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
SUD,BASILICATA,POTENZA,PZIS02400X,"I.I.S. ""DA VINCI-NITTI"" POTENZA",PZTD024038,"I.T.E. ""L. DA VINCI"" POTENZA",G942,POTENZA,NORMALE,ISTITUTO TECNICO COMMERCIALE
SUD,BASILICATA,POTENZA,PZTD15000E,I.T.E. - IST. OMN. VIGGIANELLO,PZTD15000E,I.T.E. - IST. OMN. VIGGIANELLO,L873,VIGGIANELLO,NORMALE,ISTITUTO TECNICO COMMERCIALE
SUD,CALABRIA,REGGIO CALABRIA,RCIS00700Q,IS F.SCO LA CAVA,RCRC007503,IIS LA CAVA BOVALINO CORSO SERALE,B098,BOVALINO,PERCORSO II LIVELLO,IST PROF PER I SERVIZI COMMERCIALI
SUD,CALABRIA,REGGIO CALABRIA,RCIS01700A,"IS ""E. FERMI""",RCTF017507,CORSO SERALE ITIS,A552,BAGNARA CALABRA,PERCORSO II LIVELLO,ISTITUTO TECNICO INDUSTRIALE
NORD EST,EMILIA ROMAGNA,REGGIO EMILIA,REIS01600Q,"""BLAISE PASCAL""",REPS016016,"LICEO ""BLAISE PASCAL""",H223,REGGIO NELL'EMILIA,NORMALE,LICEO SCIENTIFICO
ISOLE,SICILIA,RAGUSA,RGIS018002,G.B. VICO - UMBERTO I - R. GAGLIARDI,RGPM01801D,"LICEO ""G. B. VICO""",H163,RAGUSA,NORMALE,ISTITUTO MAGISTRALE
ISOLE,SICILIA,RAGUSA,RGIS00200C,GAETANO CURCIO,RGRI00250C,I.P.S.I.A. G. CURCIO - SERALE,E366,ISPICA,PERCORSO II LIVELLO,IST PROF INDUSTRIA E ARTIGIANATO
CENTRO,LAZIO,RIETI,RIIS00900X,I.I.S. CARLO JUCCI,RIPS00901A,CARLO JUCCI,H282,RIETI,NORMALE,LICEO SCIENTIFICO
CENTRO,LAZIO,ROMA,RMPC030006,ANCO MARZIO,RMPC030006,ANCO MARZIO,H501,ROMA,NORMALE,LICEO CLASSICO
CENTRO,LAZIO,ROMA,RMIS064003,BLAISE PASCAL,RMPC06401A,BLAISE PASCAL- INDIRIZZO CLASSICO,G811,POMEZIA,NORMALE,LICEO CLASSICO
CENTRO,LAZIO,ROMA,RMPC320006,EUGENIO MONTALE,RMPC320006,EUGENIO MONTALE,H501,ROMA,NORMALE,LICEO CLASSICO
CENTRO,LAZIO,ROMA,RMPS160002,INNOCENZO XII,RMPS160002,INNOCENZO XII,A323,ANZIO,NORMALE,LICEO SCIENTIFICO
CENTRO,LAZIO,ROMA,RMIS08900B,"CINE TV ""ROBERTO ROSSELLINI""",RMRV08951E,"PERCORSO II LIV ""ROBERTO ROSSELLINI""",H501,ROMA,PERCORSO II LIVELLO,IST PROF CINEMATOGRAFIA E TELEVISIONE
CENTRO,LAZIO,ROMA,RMIS03200G,"I.I.S. ""TOMMASO SALVINI""",RMTD03201T,"ISTITUTO TECNICO ""ANTONIO GENOVESI""",H501,ROMA,NORMALE,ISTITUTO TECNICO COMMERCIALE
CENTRO,LAZIO,ROMA,RMIS11100B,VIA C. EMERY 97,RMTD111513,"PERCORSO II LIV ""CALAMANDREI""",H501,ROMA,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE
CENTRO,LAZIO,ROMA,RMTF090003,G. GALILEI,RMTF090003,G. GALILEI,H501,ROMA,NORMALE,ISTITUTO TECNICO INDUSTRIALE
NORD EST,EMILIA ROMAGNA,RIMINI,RNRH030001,"I.P.S.S.E.O.A. ""S.P. MALATESTA""",RNRH03050A,"""S.P. MALATESTA"" SERALE",H294,RIMINI,PERCORSO II LIVELLO,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
SUD,CAMPANIA,SALERNO,SAIS046001,"""GALILEI-DI PALO"" - SALERNO",SATF04601D,"""G. GALILEI""",H703,SALERNO,NORMALE,ISTITUTO TECNICO INDUSTRIALE
SUD,CAMPANIA,SALERNO,SAIS05600G,"""MARINI - GIOIA"" - AMALFI",SATN05603T,ITT VIETRI SUL MARE,L860,VIETRI SUL MARE,NORMALE,ISTITUTO TECNICO PER IL TURISMO
CENTRO,TOSCANA,SIENA,SIIS00400L,"IS ""CASELLI""",SIRC00401G,G. CASELLI - SIENA,I726,SIENA,NORMALE,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI
CENTRO,TOSCANA,SIENA,SIIS00800X,"I.I.S. ""RONCALLI""",SITD008027,CASA CIRCONDARIALE - IST. RONCALLI,H875,SAN GIMIGNANO,SPEC. PER CARCERARI,ISTITUTO TECNICO COMMERCIALE
CENTRO,TOSCANA,SIENA,SIIS00400L,"IS ""CASELLI""",SITE00401A,MONNA AGNESE,I726,SIENA,NORMALE,ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF)
NORD OVEST,LIGURIA,LA SPEZIA,SPIS01100V,"""PARENTUCELLI-ARZELA'""",SPPC011016,".""PARENTUCELLI"" CON SEZ. SCIEN",I449,SARZANA,NORMALE,LICEO CLASSICO
NORD OVEST,LIGURIA,LA SPEZIA,SPPM01000D,"LICEO STATALE ""G. MAZZINI""",SPPM01000D,"LICEO STATALE ""G. MAZZINI""",E463,LA SPEZIA,NORMALE,ISTITUTO MAGISTRALE
NORD OVEST,LIGURIA,LA SPEZIA,SPTD110005,"I.T. COMM. E TECNOL ""FOSSATI/DA PASSANO""",SPTD110005,"I.T. COMM. E TECNOL ""FOSSATI/DA PASSANO""",E463,LA SPEZIA,NORMALE,ISTITUTO TECNICO COMMERCIALE
ISOLE,SARDEGNA,SASSARI,SSIS01700E,"I.T.C.G.""G.FALCONE E P.BORSELLINO""",SSPS017011,LORENZO MOSSA,A453,ARZACHENA,NORMALE,LICEO SCIENTIFICO
ISOLE,SARDEGNA,SASSARI,SSRH07000E,I.P.S.A.R - COSTA SMERALDA DI ARZACHENA,SSRH07050X,ARZACHENA,A453,ARZACHENA,PERCORSO II LIVELLO,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
ISOLE,SARDEGNA,SASSARI,SSIS022002,I.I.S.T.C.G. - DON GAVINO PES TEMPIO,SSRI02201N,N. FERRACCIU,B378,CALANGIANUS,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
ISOLE,SARDEGNA,SASSARI,SSSL030007,"LICEO ARTISTICO - ""FABRIZIO DE ANDRE' """,SSSL030029,LICEO ARTISTICO - C.RECLUSIONE NUCHIS,L093,TEMPIO PAUSANIA,SPEC. PER CARCERARI,LICEO ARTISTICO
SUD,PUGLIA,TARANTO,TASD02000N,"LICEO ARTISTICO ""V. CAL0'""",TASD02000N,"LICEO ARTISTICO ""V. CAL0'""",E205,GROTTAGLIE,NORMALE,ISTITUTO D'ARTE
SUD,ABRUZZO,TERAMO,TEIS014001,"I.I.S. ""ADONE ZOLI"" - ATRI",TEPS01401B,LICEO SCIENTIFICO DELLO SPORT,A488,ATRI,NORMALE,LICEO SCIENTIFICO
SUD,ABRUZZO,TERAMO,TEIS01100D,I.I.S. CROCETTI V. CERULLI,TERI011015,I.P.I.A. GIULIANOVA PAGLIACCETTI,E058,GIULIANOVA,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
SUD,ABRUZZO,TERAMO,TEIS014001,"I.I.S. ""ADONE ZOLI"" - ATRI",TERI01401L,ISTITUTO PROFESSIONALE,A488,ATRI,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
NORD OVEST,PIEMONTE,TORINO,TOPS01000G,A. GRAMSCI,TOPS01000G,A. GRAMSCI,E379,IVREA,NORMALE,LICEO SCIENTIFICO
NORD OVEST,PIEMONTE,TORINO,TOIS00600E,I.I.S. C. UBERTINI,TORH00601P,UBERTINI,C665,CHIVASSO,NORMALE,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
NORD OVEST,PIEMONTE,TORINO,TOIS04700R,I.I.S. GALILEI - FERRARI,TORI04752V,G. GALILEI SERALE,L219,TORINO,PERCORSO II LIVELLO,IST PROF INDUSTRIA E ARTIGIANATO
NORD OVEST,PIEMONTE,TORINO,TOIS01300N,BODONI - PARAVIA,TOTF013016,BODONI - PARAVIA,L219,TORINO,NORMALE,ISTITUTO TECNICO INDUSTRIALE
NORD OVEST,PIEMONTE,TORINO,TOIS03400P,I.I.S. CURIE - VITTORINI,TOTL03401B,I.I.S CURIE-VITTORINI,E216,GRUGLIASCO,NORMALE,ISTITUTO TECNICO PER GEOMETRI
NORD OVEST,PIEMONTE,TORINO,TOIS03900T,I.I.S. P. MARTINETTI,TOTN039012,MARTINETTI-TURISMO-CHIMICO MAT BIOTECN,B435,CALUSO,NORMALE,ISTITUTO TECNICO PER IL TURISMO
ISOLE,SICILIA,TRAPANI,TPIS008004,POLO STATALE I.S.S. PIERSANTI MATTARELLA,TPRM008017,"TTL CAIM EX NAUTICO - ITC ""P.MATTARELLA""",C130,CASTELLAMMARE DEL GOLFO,NORMALE,IST PROF INDUSTRIA E ATTIVITA' MARINARE
ISOLE,SICILIA,TRAPANI,TPIS02100E,"I.S. ""G.B.FERRIGNO V. ACCARDI""",TPTL02151L,ISTITUTO TECNICO PER GEOMETRI,B521,CAMPOBELLO DI MAZARA,PERCORSO II LIVELLO,ISTITUTO TECNICO PER GEOMETRI
CENTRO,UMBRIA,TERNI,TRIS00100E,NARNI I.I.S. SC. MAG. GEOM. GANDHI,TRPM001012,NARNI ISTITUTO MAGISTRALE,F844,NARNI,NORMALE,ISTITUTO MAGISTRALE
CENTRO,UMBRIA,TERNI,TRTF030002,"IST. TECN.TECNOLOGICO ""ALLIEVI-SANGALLO""",TRTF03050B,"TERNI ITIS "" L. ALLIEVI"" CORSO SERALE",L117,TERNI,PERCORSO II LIVELLO,ISTITUTO TECNICO INDUSTRIALE
NORD EST,VENETO,TREVISO,TVIS01100A,IS A.SCARPA,TVTF01101V,I.T.I. SCARPA,F770,MOTTA DI LIVENZA,NORMALE,ISTITUTO TECNICO INDUSTRIALE
NORD EST,FRIULI-VENEZIA G.,UDINE,UDIS01800D,MAGRINI MARCHETTI,UDPS01801X,LUIGI MAGRINI,D962,GEMONA DEL FRIULI,NORMALE,LICEO SCIENTIFICO
NORD EST,FRIULI-VENEZIA G.,UDINE,UDIS01300A,DELLA BASSA FRIULANA,UDRC013019,ENRICO MATTEI,G284,PALMANOVA,NORMALE,IST PROF PER I SERVIZI COMMERCIALI
NORD EST,FRIULI-VENEZIA G.,UDINE,UDIS007003,D'AQUILEIA,UDRI00701P,IPSIA MATTIONI,C758,CIVIDALE DEL FRIULI,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
NORD EST,FRIULI-VENEZIA G.,UDINE,UDIS014006,F.SOLARI,UDRI01401T,"IPSIA ""A. CANDONI"" TOLMEZZO",L195,TOLMEZZO,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
NORD EST,FRIULI-VENEZIA G.,UDINE,UDIS01600T,"ISIS ""A. MALIGNANI"" UDINE",UDTF01651Q,SEZIONE SERALE ITI MALIGNANI UDINE,L483,UDINE,PERCORSO II LIVELLO,ISTITUTO TECNICO INDUSTRIALE
NORD OVEST,LOMBARDIA,VARESE,VAIS01900E,C. FACCHINETTI,VARI019016,"I.P.S.I.A ISIS ""FACCHINETTI"" CASTELLANZA",C139,CASTELLANZA,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
NORD OVEST,LOMBARDIA,VARESE,VAIS003001,CITTA' DI LUINO - CARLO VOLONTE',VATN003015,CITTA DI LUINO-CARLO VOLONTE (TURISMO),E734,LUINO,NORMALE,ISTITUTO TECNICO PER IL TURISMO
NORD EST,VENETO,VICENZA,VIIS006006,IIS M. RIGONI STERN,VIRI00601T,MARIO RIGONI STERN,A465,ASIAGO,CONVITTO ANNESSO,IST PROF INDUSTRIA E ARTIGIANATO
NORD EST,VENETO,VICENZA,VIIS013009,IIS A. CANOVA,VISL01302N,LICEO ARTISTICO 'CANOVA' CARCERARIA,L840,VICENZA,SPEC. PER CARCERARI,LICEO ARTISTICO
NORD EST,VENETO,VERONA,VRPS020006,"LICEO ""GALILEO GALILEI""",VRPS020006,"LICEO ""GALILEO GALILEI""",L781,VERONA,NORMALE,LICEO SCIENTIFICO
NORD EST,VENETO,VERONA,VRIS01200T,"""STEFANI - BENTEGODI""",VRRA01203X,"""STEFANI-BENTEGODI"" S.PIETRO INCARIANO",I109,SAN PIETRO IN CARIANO,NORMALE,IST PROF PER L'AGRICOLTURA E L'AMBIENTE
NORD EST,VENETO,VERONA,VRRH02000X,ANGELO BERTI,VRRH02000X,ANGELO BERTI,L781,VERONA,NORMALE,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
NORD EST,VENETO,VERONA,VRIS00400V,"""M.O. LUCIANO DAL CERO""",VRTD004015,ISISS M.O. LUCIANO DAL CERO,H783,SAN BONIFACIO,NORMALE,IST TEC COMMERCIALE E PER GEOMETRI
